Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"76209","2020-06-18 02:22:19","1","89","<time-series><predictive-modeling>","2",""
"76217","2020-06-18 06:37:18","1","41","<recommender-system><data-science-model>","0",""
"76218","2020-06-18 06:44:31","1","332","<python><scikit-learn><gpu><natural-gradient-boosting>","1",""
"76220","2020-06-18 07:15:24","2","115","<python><image-preprocessing>","1",""
"76221","2020-06-18 07:26:27","2","52","<dataset><regression><data><categorical-data><open-source>","0",""
"76222","2020-06-18 07:41:43","2","24","<feature-engineering>","1",""
"76223","2020-06-18 07:41:56","1","147","<classification><statistics><xgboost><accuracy>","2","1"
"76224","2020-06-18 07:42:03","1","50","<machine-learning><python><naive-bayes-classifier><python-3.x>","1",""
"76227","2020-06-18 08:36:23","4","17818","<keras><tensorflow>","4","2"
"76230","2020-06-18 09:25:42","0","39","<xgboost><accuracy><class-imbalance><auc>","1",""
"76232","2020-06-18 09:35:06","3","119","<clustering><recommender-system>","3",""
"76235","2020-06-18 05:57:48","0","106","<mathematics><javascript>","1",""
"76239","2020-06-18 12:15:15","1","358","<classification><svm>","0",""
"76241","2020-06-18 13:23:07","1","1562","<scikit-learn><random-forest><lightgbm>","1","1"
"76242","2020-06-18 14:09:24","2","271","<python><nlp><pytorch><shap><fasttext>","0",""
"76243","2020-06-18 14:10:21","4","396","<machine-learning><scikit-learn><decision-trees><machine-learning-model>","1","0"
"76246","2020-06-18 16:22:42","1","24","<visualization>","1",""
"76247","2020-06-18 17:46:53","1","196","<python><data-science-model><embeddings>","1","2"
"76249","2020-06-18 18:23:59","1","14","<regression><error-handling>","1","1"
"76252","2020-06-18 19:59:06","0","31","<dataset><pandas><numpy><dataframe>","1",""
"76253","2020-06-18 20:01:14","0","250","<python><classification><visualization><cross-validation><training>","2",""
"76255","2020-06-18 21:10:28","0","21","<machine-learning><python><prediction>","1",""
"76258","2020-06-18 23:05:32","3","193","<python><xgboost><natural-gradient-boosting>","1",""
"76261","2020-06-18 23:25:53","1","115","<machine-learning>","1",""
"76262","2020-06-19 02:43:03","4","945","<scikit-learn><svm><anomaly-detection>","1","1"
"76263","2020-06-19 04:03:39","1","48","<classification><class-imbalance><time>","1","1"
"76268","2020-06-19 06:01:29","1","23","<python><neural-network><image-classification><convolution><image-recognition>","1","1"
"76270","2020-06-19 06:29:43","1","59","<deep-learning><keras><time-series><cnn>","1",""
"76276","2020-06-18 19:33:50","2","138","<machine-learning>","1",""
"76277","2020-06-19 05:34:08","5","1045","<deep-learning><keras><scikit-learn><feature-engineering><pca>","3","2"
"76292","2020-06-19 10:16:22","0","245","<python><visualization><cross-validation><plotting><grid-search>","1","0"
"76296","2020-06-19 12:37:14","1","123","<machine-learning><python><xgboost>","0",""
"76297","2020-06-19 13:25:36","1","17","<python>","0",""
"76298","2020-06-19 14:08:45","2","1067","<nlp>","2",""
"76299","2020-06-19 14:48:44","1","175","<keras><cnn><image-classification><autoencoder><mnist>","2","0"
"76301","2020-06-19 16:10:15","0","344","<machine-learning><r><random-forest>","1",""
"76304","2020-06-19 17:47:53","0","3409","<machine-learning><scikit-learn><random-forest>","3",""
"76305","2020-06-19 18:30:46","0","255","<machine-learning><python><scikit-learn><feature-selection>","1",""
"76306","2020-06-19 18:33:11","1","106","<machine-learning><python><scikit-learn><dataset><encoding>","3",""
"76308","2020-06-19 18:44:12","1","52","<python><deep-learning><keras><tensorflow><transfer-learning>","0",""
"76311","2020-06-19 19:00:36","2","324","<python><feature-selection><xgboost>","1","1"
"76317","2020-06-19 19:59:17","1","5","<sql><hive>","0",""
"76318","2020-06-19 20:04:01","2","235","<feature-selection><xgboost><gradient-descent>","1",""
"76320","2020-06-19 20:19:40","2","38","<nlp><text-mining><text-classification>","1",""
"76321","2020-06-19 22:58:48","2","114","<machine-learning><python><keras><tensorflow><cuda>","0",""
"76322","2020-06-19 23:08:44","6","101","<nlp><lstm><rnn><ngrams>","2",""
"76327","2020-06-20 02:25:11","1","20","<dataset><ranking>","1",""
"76328","2020-06-20 03:44:07","0","96","<nlp><word-embeddings><transfer-learning><encoding><embeddings>","1",""
"76330","2020-06-20 04:54:15","1","36","<neural-network><deep-learning><classification><text-classification>","2","0"
"76331","2020-06-20 05:06:25","2","186","<python><k-nn><classifier>","1",""
"76333","2020-06-20 05:16:19","0","516","<python><computer-vision><image-preprocessing><opencv>","1",""
"76338","2020-06-20 07:46:27","2","397","<linear-regression><glm><multivariate-distribution><collinearity>","1","1"
"76339","2020-06-20 07:58:14","2","90","<computer-vision><ai>","1",""
"76344","2020-06-20 09:10:45","1","842","<keras>","1",""
"76348","2020-06-20 11:11:10","1","142","<neural-network><deep-learning><cnn><convolution><inception>","0",""
"76349","2020-06-20 11:37:51","1","33","<python><time-series><forecasting><forecast>","0",""
"76351","2020-06-20 12:55:12","3","279","<overfitting><features>","2","1"
"76358","2020-06-20 15:11:24","2","36","<categorical-data>","1",""
"76359","2020-06-20 18:13:17","1","85","<pytorch><transformer>","0",""
"76361","2020-06-20 18:27:21","1","40","<python><time-series><statistics><forecasting>","2",""
"76362","2020-06-20 18:48:53","0","63","<machine-learning><neural-network><research>","0",""
"76363","2020-06-20 18:50:22","2","52","<feature-selection><data-leakage>","1","0"
"76365","2020-06-20 20:25:50","1","73","<pytorch>","1",""
"76367","2020-06-20 21:18:59","1","41","<dataset><evaluation><orange3>","0",""
"76368","2020-06-20 22:16:35","1","48","<pandas><sampling><scipy><chi-square-test>","0","0"
"76370","2020-06-21 00:28:53","1","436","<neural-network><deep-learning><classification><transfer-learning><text-classification>","2","1"
"76373","2020-06-21 01:11:29","1","51","<dataset>","2",""
"76379","2020-06-21 03:58:46","1","40","<predictive-modeling><model-selection>","1",""
"76381","2020-06-21 04:18:30","0","39","<data-augmentation>","1",""
"76382","2020-06-21 05:47:27","1","80","<neural-network><preprocessing><feature-scaling>","1",""
"76385","2020-06-21 07:58:36","1","214","<machine-learning><imbalanced-learn>","1",""
"76388","2020-06-21 09:27:17","1","32","<named-entity-recognition><text-generation>","2",""
"76395","2020-06-21 11:45:56","2","17","<predictive-modeling>","1",""
"76396","2020-06-21 11:50:31","-1","34","<python><dataset><pandas><dataframe>","1","1"
"76398","2020-06-21 13:09:16","0","90","<keras><dataframe><image-preprocessing>","1",""
"76399","2020-06-21 13:10:01","2","56","<machine-learning><python><scikit-learn><random-forest><accuracy>","1",""
"76402","2020-06-21 14:35:37","0","117","<cnn><lstm><rnn><convolution>","1",""
"76406","2020-06-21 15:20:57","1","23","<deep-learning><nlp>","0",""
"76408","2020-06-21 15:53:11","4","1269","<machine-learning><deep-learning><optimization><gradient-descent>","2","1"
"76412","2020-06-21 17:21:27","0","52","<machine-learning><deep-learning><feature-engineering><embeddings>","1",""
"76415","2020-06-21 18:48:43","-1","27","<machine-learning><python><deep-learning><numpy><reshape>","1",""
"76418","2020-06-21 19:16:38","1","259","<neural-network><loss-function><regularization>","1",""
"76419","2020-06-21 19:55:16","2","41","<visualization><data-analysis><csv>","1",""
"76421","2020-06-21 20:08:29","2","75","<machine-learning><class-imbalance><variance><bias>","1","1"
"76424","2020-06-21 20:45:28","0","70","<optimization><self-study>","1","1"
"76425","2020-06-21 20:51:26","1","46","<classification>","1","1"
"76427","2020-06-21 21:24:33","0","29","<k-nn>","0",""
"76430","2020-06-21 23:51:37","1","44","<neural-network><lstm><loss-function>","0",""
"76432","2020-06-22 01:39:30","1","30","<neural-network><deep-learning>","1",""
"76433","2020-06-22 04:41:26","1","383","<machine-learning><scikit-learn><supervised-learning>","1",""
"76441","2020-06-22 07:31:03","1","399","<neural-network><deep-learning><cnn><convolution><dropout>","2",""
"76442","2020-06-22 08:07:05","0","62","<nlp><sentiment-analysis><parsing>","1",""
"76443","2020-06-22 08:24:21","1","940","<clustering><unsupervised-learning><k-means><noise>","1",""
"76444","2020-06-22 09:27:02","9","12933","<keras><tensorflow><lstm>","4","2"
"76446","2020-06-22 09:48:23","0","150","<clustering><k-means><lda><text-classification>","2",""
"76450","2020-06-22 10:42:11","1","334","<machine-learning><python><naive-bayes-classifier>","1",""
"76451","2020-06-22 10:45:41","0","158","<classification><time-series><cnn><prediction>","1",""
"76453","2020-06-22 11:24:25","1","25","<dataset><bigdata><apache-spark><bioinformatics>","0",""
"76456","2020-06-22 11:44:46","1","196","<cnn><kernel>","1",""
"76459","2020-06-22 13:02:14","1","70","<k-means><lda><text-classification>","1",""
"76461","2020-06-22 13:25:54","1","76","<data-cleaning><machine-learning-model>","1",""
"76464","2020-06-22 14:23:36","0","486","<python><scikit-learn><k-means>","1",""
"76465","2020-06-22 14:32:43","1","558","<machine-learning><scikit-learn><feature-scaling>","1",""
"76466","2020-06-22 14:44:45","1","108","<machine-learning><prediction>","2","1"
"76467","2020-06-22 15:03:27","1","319","<cnn><image-classification><class-imbalance><data-augmentation>","2",""
"76470","2020-06-22 15:34:31","2","722","<class-imbalance><smote><imbalanced-learn><smotenc>","1","1"
"76480","2020-06-22 16:43:08","0","20","<classification>","1",""
"76482","2020-06-22 17:55:40","-3","33","<python><data><training><forecasting>","1",""
"76484","2020-06-22 19:37:53","1","484","<xgboost>","2",""
"76485","2020-06-22 19:43:44","0","69","<python><data-mining><feature-selection><categorical-data><categorical-encoding>","1",""
"76494","2020-06-23 01:41:30","3","195","<deep-learning><keras><cross-validation><regularization><labels>","3",""
"76502","2020-06-23 05:59:30","2","26","<forecast><predict>","1",""
"76508","2020-06-23 09:32:52","1","126","<deep-learning><tensorflow><object-detection><evaluation>","0",""
"76509","2020-06-23 09:35:58","1","1494","<keras><tensorflow><class-imbalance><image-segmentation>","0",""
"76515","2020-06-23 07:00:38","1","152","<machine-learning><scikit-learn><random-forest><machine-learning-model><pytorch>","1",""
"76518","2020-06-23 11:38:45","1","1056","<machine-learning><clustering><k-means><python-3.x>","4","2"
"76519","2020-06-23 11:47:12","1","58","<data-mining><algorithms><unsupervised-learning><model-selection>","2",""
"76522","2020-06-23 12:46:15","2","254","<deep-learning><loss-function><object-detection><regularization>","0",""
"76523","2020-06-23 13:27:03","0","33","<python><classification><regex>","1",""
"76524","2020-06-23 14:09:04","1","2119","<python><scikit-learn><regression><pandas>","1",""
"76527","2020-06-23 15:52:59","1","911","<overfitting><bert><huggingface>","1",""
"76529","2020-06-23 16:02:02","1","207","<machine-learning><deep-learning><gpu><hardware>","1","1"
"76530","2020-06-23 16:28:46","1","18","<machine-learning><neural-network><deep-learning><classification><cnn>","1",""
"76531","2020-06-23 16:52:00","1","75","<python><data-mining><predictive-modeling><data-science-model><forecasting>","1","1"
"76533","2020-06-23 16:59:38","2","55","<machine-learning><classification><predictive-modeling><multiclass-classification><text-classification>","2",""
"76538","2020-06-23 17:56:05","0","228","<machine-learning><python><scikit-learn><random-forest><confusion-matrix>","1",""
"76541","2020-06-23 18:48:56","1","32","<clustering><unsupervised-learning><k-means>","0",""
"76544","2020-06-23 19:40:52","1","81","<python><data-mining><association-rules>","1",""
"76545","2020-06-23 19:42:09","1","19","<neural-network><backpropagation>","1",""
"76558","2020-06-24 01:09:37","0","26","<machine-learning><neural-network><cnn><lstm>","1",""
"76559","2020-06-24 01:49:06","2","32","<machine-learning><classification><random-forest>","1",""
"76560","2020-06-24 02:03:06","0","25","<machine-learning><feature-selection><feature-scaling>","1",""
